estudio,FechaInicio,HoraInicio,FechaFin,HoraFin,Duración,NúmeroEntrevista,DISTRITO,(P0B*R1AE) - Sexo (anotar),(P0D*R1AS) - ¿Me puede decir su edad?,"P0F*R1AS) - Actualmente, ¿está viviendo en...?",(P1*M1AS) - a - En Madrid,(P1*M1AS) - b - En su distrito,(P1*M1AS) - c - En su barrio,(P2*M10S) - a - En Madrid,(P2*M10S) - b - En su distrito,(P2*M10S) - c - En su barrio,(P3*M10S) - a - En Madrid,(P3*M10S) - b - En su distrito,(P3*M10S) - c - En su barrio,(P4*M10S) - a - Cuidado y conservación de la ciudad,(P4*M10S) - b - Movilidad y transporte público,(P4*M10S) - c - Calidad medioambiental,(P4*M10S) - d - Facilidad para encontrar un trabajo,(P4*M10S) - e - Facilidad para emprender un negocio,(P4*M10S) - f - Imagen internacional de Madrid,(P4*M10S) - g - Coste de la vida,(P4*M10S) - h - Integración social,(P4*M10S) - i - Salud y servicios sanitarios,(P4*M10S) - j - Educación y centros educativos,(P4*M10S) - k - Facilidad para encontrar una vivienda en el marco de sus posibilidades,(P4*M10S) - l - Facilidad para hacer deporte,"(P4*M10S) - m - Oferta cultural, ocio y diversión",(P4*M10S) - n - Convivencia vecinal,(P4*M10S) - o - Seguridad,"(P5A*R1AE) - ¿Cuáles son, a su juicio y por orden de prioridad, los tres problemas principales que existen actualmente en la ciudad de Madrid? (anotar 1ª problema)",(P5B*R1AE) - Anotar 2ª problema,(P5C*R1AE) - Anotar 3ª problema,P4_Total,(P6*M10S) - a - Desigualdad de oportunidades entre hombres y mujeres,(P6*M10S) - b - Desigualdad de oportunidades entre la población extranjera y autóctona,(P7*M10S) - a - Las personas mayores,(P7*M10S) - b - La infancia,(P7*M10S) - c - Las personas con discapacidad,(P7*M10S) - d - Las personas lgtbiq+,(P7*M10S) - e - Los migrantes,(7*M10S) - f - La adolescencia,(P8*M10S) - a - La recogida de basuras y contenedores,"(P8*M10S) - b - La gestión y tratamiento de residuos (reciclaje, compostaje, etc.)",(P8*M10S) - c - El control de la contaminación atmosférica,(P8*M10S) - d - El control del ruido,(P8*M10S) - e - La limpieza de las calles,(P8*M10S) - f - El alumbrado público,"(P8*M10S) - g - Las infraestructuras de la ciudad para la circulación de vehículos (calles, túneles, etc.…)",(P8*M10S) - h - La pavimentación y conservación de las aceras,(P8*M10S) - i - El asfaltado y conservación de las calzadas,(P8*M10S) - j - La peatonalización de calles,"(P8*M10S) - k - La eliminación de barreras arquitectónicas (rebaje de bordillos, semáforos acústicos, etc.)",(P8*M10S) - l - La movilidad sostenible,(P8*M10S) - v - La mejora de la calidad del aire,(P8*M10S) - m - La conservación y rehabilitación de los edificios,(P8*M10S) - n - La protección de monumentos y del patrimonio histórico-artístico,(P8*M10S) - o - La información y promoción turística,"(P8*M10S) - p - La organización de fiestas y eventos populares (cabalgata, fiestas de san isidro, fiestas de los distritos...)","(P8*M10S) - q - El control de la salud pública (plagas, alimentos, aguas...)",(P8*M10S) - r - Las ayudas e incentivos a pymes y autónomos,(P8*M10S) - s - La información al consumidor,(P8*M10S) - t - La promoción pública de viviendas,(P8*M10S) - w - La actuación frente a la ocupación ilegal,"(P8*M10S) - u - Los beneficios fiscales promovidos por el ayuntamiento (bajada de impuestos, bonificaciones...)",(P8*M10S) - x - El plan de fomento de la natalidad y la conciliación (el cheque bebé),(P9*M10S) - a - La atención a la ciudadanía,(P9*M10S) - c - El servicio de autobuses de la Emt,(P9*M10S) - d - Los taxis,(P9*M10S) - e - El ser (servicio de estacionamiento regulado),(P9*M10S) - f - Los agentes de movilidad,(P9*M10S) - g - La policía municipal,(P9*M10S) - h - Los bomberos,(P9*M10S) - i - Samur – protección civil,(P9*M10S) - j - La beca infantil para la escolarización 0-3 años,"(P9*M10S) - k - Los servicios sociales municipales (mayores, personas con discapacidad, inmigrantes, familias, …)",(P9*M10S) - l - Las vías ciclistas,(P9*M10S) - m - Los aparcamientos municipales,(P9*M10S) - n - Los puntos limpios de recogida y reciclaje de residuos,(P9*M10S) - o - Los espacios verdes (parques y jardines),(P9*M10S) - p - Los parques infantiles,(P9*M10S) - q - Los mercados municipales,(P9*M10S) - r - Las instalaciones deportivas municipales,(P9*M10S) - s - Los centros culturales municipales,(P9*M10S) - t - Las bibliotecas municipales,"(P9*M10S) - u - Los teatros municipales (Español, Matadero, Fernán Gómez…)",(P9*M10S) - v - El Samur social,(P9*M10S) - w - Bicimad,"(P10*R2AS) - Hablemos a continuación de cuestiones relativas a la movilidad y la seguridad en la ciudad  ¿qué medio o medios de transporte utiliza habitualmente para sus desplazamientos cotidianos (desplazamientos al lugar de trabajo, estudio u otros co",,,,,,,,,,,,,,(P11*M10S) - b - Durante el día,(P11*M10S) - c - Durante la noche,(P11*M10S) - a - Y en general,(P12*M10S) - b - Durante el día,(P12*M10S) - c - Durante la noche,(P13*M10S) - b - Durante el día,(P13*M10S) - c - Durante la noche,"(P14*R10S) - Trataremos a continuación de la administración y el gobierno del ayuntamiento de Madrid  en la misma escala, ¿en qué medida se considera usted  informado/a  de lo que hace el ayuntamiento de Madrid?",(P15*M10S) - a - Las oficinas de atención a la ciudadanía de línea Madrid,(P15*M10S) - b - El teléfono 010,(P15*M10S) - c - La web del ayuntamiento de Madrid: www.madrid.es,"(P15*M10S) - d - Aplicaciones del ayuntamiento para dispositivos móviles (app para móviles, Madrid móvil, emt Madrid…)",(P15*M10S) - e - Las oficinas de atención al contribuyente,(P15*M10S) - f - Chat on line de línea Madrid,"(P15*M10S) - g - Atención directa a las personas mayores, con número preferente y atención presencial sin cita previa",(P16*M10S) - a - Administración general del estado,(P16*M10S) - b - Administración de la comunidad de Madrid,(P16*M10S) - c - Administración del ayuntamiento de Madrid,"(P17*R10S) - ¿Y en términos generales, en una escala de 0 a 10 ¿cómo calificaría usted la gestión que está realizando el equipo de gobierno del ayuntamiento de Madrid?","(P18*R10S) - En una escala de 0 a 10, ¿cómo está de satisfecho/a con la administración del ayuntamiento de Madrid?",(P19*R10S) - Poniendo en relación los impuestos que paga al ayuntamiento y los servicios que recibe. En una escala de 0 a 10 ¿cómo de satisfecho/a está?,(P20*M2AS) - a - Primero,(P20*M2AS) - b - Segundo,"(P21*R1AS) - Y para terminar, a efectos de analísis estadístico, voy a hacerle algunas preguntas. ¿Podría indicarme su nacionalidad?",(P22*R1AE) - ¿Cuáles son los estudios de más alto nivel oficial que usted ha cursado (con independencia de que los haya terminado o no)?,(P23*R1AS) - ¿En cuál de las siguientes situaciones se encuentra usted actualmente? situación principal.,(P24*R1AE) - ¿Y podría decirme a qué partido o coalición votó en las elecciones municipales de mayo de 2023?,Ponderacion
10409_CAL_VIDA_25Dist,19-sep-25,13:28:13,19-sep-25,13:43:06,0:14:53,1449659,2,1,1,1,9,9,9,8,8,9,8,9,10,8,10,9,8,99,9,5,8,8,8,4,10,10,7,9,4,97,99,4;97;99,7,7,8,8,7,8,7,8,8,8,7,8,8,8,9,7,8,8,7,8,7,7,8,8,7,7,9,9,5,8,8,6,,,,,,,,,,,,,,,,,,,,,,,1,,3,4,,,,8,,,,,,,,,,,,,,,,,,,,,,9,8,8,6,5,,,,1,6,1,10,"1,236126"
10409_CAL_VIDA_25Dist,19-sep-25,13:29:37,19-sep-25,13:44:01,0:14:24,1449660,4,1,4,1,10,9,10,9,9,9,10,10,10,8,10,7,9,9,10,7,8,8,8,7,9,10,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,8,9,8,8,10,9,9,8,7,9,9,8,8,8,8,8,8,8,9,99,,,,,,,,,,,,,,,9,7,8,9,9,9,9,9,9,10,9,10,9,99,10,,,,,,9,7,6,1,6,1,1,"0,787242"
10409_CAL_VIDA_25Dist,19-sep-25,13:29:50,19-sep-25,13:44:29,0:14:39,1449661,8,1,3,4,9,8,9,8,7,8,7,8,9,5,7,5,5,5,8,5,7,5,7,2,7,8,7,7,4,8,10,4;8;10,7,7,5,5,5,7,5,8,6,5,5,5,5,5,6,2,2,5,5,5,5,5,7,8,7,5,6,8,2,2,8,5,,,,,,,,,,,,,,,,,,,,,,,1,,3,,5,6,7,8,9,,,,,,,,,,,,,,,,,,,,,2,5,4,6,6,,,,1,6,1,7,"1,270241"
10409_CAL_VIDA_25Dist,19-sep-25,13:29:52,19-sep-25,13:44:18,0:14:26,1449662,5,1,3,4,7,7,8,7,7,7,6,9,8,7,8,6,7,6,8,9,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,6,8,7,8,7,6,8,8,7,8,5,7,7,8,6,7,8,9,7,5,,,,,,,,,,,,,,,8,7,7,6,9,7,8,6,6,99,7,7,6,99,8,,,,,,8,1,6,1,5,1,5,"0,692541"
10409_CAL_VIDA_25Dist,19-sep-25,13:30:16,19-sep-25,13:45:40,0:15:24,1449663,20,1,4,3,10,7,10,9,7,9,10,9,10,8,9,6,7,7,9,5,99,9,99,4,10,10,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,6,6,6,8,10,10,99,8,5,8,9,9,8,9,10,10,10,9,9,5,,,,,,,,,,,,,,,9,7,8,8,8,10,10,8,99,9,9,99,99,99,10,,,,,,8,6,1,1,5,4,1,"1,023298"
10409_CAL_VIDA_25Dist,19-sep-25,13:31:59,19-sep-25,13:48:33,0:16:34,1449664,1,1,2,4,10,10,10,10,10,10,10,99,10,9,10,8,10,10,10,9,9,10,10,6,8,10,10,9,13,3,65,13;3;65,5,10,9,10,10,9,1,10,1,2,6,3,7,7,8,5,4,7,7,7,5,3,8,8,7,6,5,7,8,1,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,2,9,9,9,9,,,,1,5,1,1,"0,94273"
10409_CAL_VIDA_25Dist,19-sep-25,13:32:22,19-sep-25,13:49:32,0:17:10,1449665,6,1,3,5,8,7,7,8,7,7,7,8,8,7,8,5,6,5,7,5,5,6,7,6,7,7,5,7,5,2,3,5;2;3,2,2,5,7,5,10,5,8,2,5,3,6,3,6,6,6,6,3,6,7,3,6,7,7,7,6,5,5,5,2,4,5,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,7,7,7,,,,1,5,1,1,"0,920725"
10409_CAL_VIDA_25Dist,19-sep-25,13:32:23,19-sep-25,13:48:34,0:16:11,1449666,4,1,3,4,10,9,9,8,8,9,7,8,8,7,9,7,6,6,8,4,6,7,8,4,7,8,6,7,4,97,99,4;97;99,5,6,7,8,6,7,7,6,7,6,7,7,7,7,9,7,8,8,7,6,6,7,9,8,6,7,7,8,6,6,7,8,,,,,,,,,,,,,,,,,,,,,,,,,3,,5,,7,,,,,,,,,,,,,,,,,,,,,,,10,9,9,10,10,,,,1,5,1,10,"0,735759"
10409_CAL_VIDA_25Dist,19-sep-25,13:33:38,19-sep-25,13:47:15,0:13:37,1449667,16,1,2,5,9,9,9,10,10,10,8,7,8,8,10,7,10,9,10,2,9,6,10,3,10,10,8,9,97,99,99,97;99;99,0,0,10,99,10,99,5,99,8,8,5,5,9,10,6,9,10,10,10,8,9,7,10,10,10,8,5,6,1,0,4,7,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,6,3,,,,1,6,1,2,"1,209711"
10409_CAL_VIDA_25Dist,19-sep-25,13:35:45,19-sep-25,13:50:28,0:14:43,1449668,12,1,1,4,10,8,8,10,9,9,9,9,9,8,9,9,10,9,9,10,9,8,9,10,9,8,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,8,8,7,9,7,9,8,9,9,8,9,7,7,8,8,7,8,8,9,8,,,,,,,,,,,,,,,9,8,9,10,10,10,10,7,6,4,8,6,7,5,6,,,,,,7,1,6,1,6,1,3,"1,484672"
10409_CAL_VIDA_25Dist,19-sep-25,13:39:37,19-sep-25,13:56:53,0:17:16,1449669,8,1,3,2,7,5,5,5,5,5,2,3,3,8,8,4,6,6,8,1,7,7,7,2,7,6,4,5,46,4,7,46;4;7,5,8,8,7,8,10,10,7,8,8,6,5,6,8,7,5,6,8,7,7,6,8,8,8,8,8,6,7,4,6,8,5,,,,,,,,,,,,,,,,,,,,,,,1,,3,,5,6,,,,,,,,,,,,,,,,,,,,,,,,1,8,7,8,8,,,,1,5,1,1,"1,270241"
10409_CAL_VIDA_25Dist,19-sep-25,13:40:21,19-sep-25,13:57:04,0:16:43,1449670,6,1,1,1,9,9,7,10,9,9,10,10,10,10,8,9,9,10,10,10,9,8,9,7,10,8,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,7,7,8,9,10,99,10,6,9,7,7,9,7,10,10,8,9,99,8,7,,,,,,,,,,,,,,,9,6,8,10,4,10,8,6,6,10,5,7,6,9,7,,,,,,2,6,5,1,5,1,8,"1,943557"
